strain,sample,time,dose,gene_symbol,gene_expression
HW,HW4D15,96,100,Ccbl1,346.5837838
HW,HW4D15,96,100,Cxcr7,22.87681741
HW,HW4D15,96,100,Col18a1,565.0573901
HW,HW4D19,96,100,Ahrr,48.90822436
HW,HW4D19,96,100,Aldh3a1,12817.6229
HW,HW4D19,96,100,Bbs2,59.91257485
HW,HW4D19,96,100,Ccbl1,854.6712208
HW,HW4D19,96,100,Cxcr7,34.23575706
HW,HW4D19,96,100,Col18a1,1140.784333
HW,HW4D3,96,100,Ahrr,130.0790542
HW,HW4D3,96,100,Aldh3a1,15987.28132
HW,HW4D3,96,100,Bbs2,113.112221
HW,HW4D3,96,100,Ccbl1,990.863056
HW,HW4D3,96,100,Cxcr7,39.58927735
HW,HW4D3,96,100,Col18a1,1191.071687
HW,HW4D4,96,100,Ahrr,159.6052443
HW,HW4D4,96,100,Aldh3a1,21103.36007
HW,HW4D4,96,100,Bbs2,106.4034962
HW,HW4D4,96,100,Ccbl1,1218.424348
HW,HW4D4,96,100,Cxcr7,107.4466677
HW,HW4D4,96,100,Col18a1,1196.517746
HW,HW4D7,96,100,Ahrr,110.9862161
HW,HW4D7,96,100,Aldh3a1,18785.69769
HW,HW4D7,96,100,Bbs2,71.71417043
HW,HW4D7,96,100,Ccbl1,997.1684651
HW,HW4D7,96,100,Cxcr7,52.9318877
HW,HW4D7,96,100,Col18a1,1316.467272
HW,HW10D10,240,0,Ahrr,9.897117783
HW,HW10D10,240,0,Aldh3a1,106.6689361
HW,HW10D10,240,0,Bbs2,35.18975212
HW,HW10D10,240,0,Ccbl1,282.6176967
HW,HW10D10,240,0,Cxcr7,20.89391532
HW,HW10D10,240,0,Col18a1,1837.564868
HW,HW10D11,240,0,Ahrr,3.123838247
HW,HW10D11,240,0,Aldh3a1,23.42878686
HW,HW10D11,240,0,Bbs2,11.71439343
HW,HW10D11,240,0,Ccbl1,101.524743
HW,HW10D11,240,0,Cxcr7,10.1524743
HW,HW10D11,240,0,Col18a1,602.9007818
HW,HW10D14,240,0,Ahrr,6.4547992
HW,HW10D14,240,0,Aldh3a1,97.74410217
HW,HW10D14,240,0,Bbs2,19.3643976
HW,HW10D14,240,0,Ccbl1,192.7218618
HW,HW10D14,240,0,Cxcr7,14.75382674
HW,HW10D14,240,0,Col18a1,1392.392399
HW,HW10D17,240,0,Ahrr,4.503942994
HW,HW10D17,240,0,Aldh3a1,66.80848774
HW,HW10D17,240,0,Bbs2,35.28088679
HW,HW10D17,240,0,Ccbl1,177.9057483
HW,HW10D17,240,0,Cxcr7,29.27562946
HW,HW10D17,240,0,Col18a1,1284.37441
HW,HW10D5,240,0,Ahrr,3.189172313
HW,HW10D5,240,0,Aldh3a1,128.62995
HW,HW10D5,240,0,Bbs2,26.57643594
HW,HW10D5,240,0,Ccbl1,201.9809131
HW,HW10D5,240,0,Cxcr7,13.81974669
HW,HW10D5,240,0,Col18a1,936.5536025
HW,HW10D1,240,100,Ahrr,95.41412471
HW,HW10D1,240,100,Aldh3a1,13697.08442
HW,HW10D1,240,100,Bbs2,79.94156394
HW,HW10D1,240,100,Ccbl1,920.6173654
HW,HW10D1,240,100,Cxcr7,123.7804861
HW,HW10D1,240,100,Col18a1,1579.490578
HW,HW10D13,240,100,Ahrr,188.4756666
HW,HW10D13,240,100,Aldh3a1,11089.29279
HW,HW10D13,240,100,Bbs2,79.49313827
HW,HW10D13,240,100,Ccbl1,974.4320175
HW,HW10D13,240,100,Cxcr7,129.4968865
HW,HW10D13,240,100,Col18a1,1342.408319
HW,HW10D18,240,100,Ahrr,219.5176064
HW,HW10D18,240,100,Aldh3a1,24805.48952
HW,HW10D18,240,100,Bbs2,85.2382195
HW,HW10D18,240,100,Ccbl1,1338.123281
HW,HW10D18,240,100,Cxcr7,294.2470043
HW,HW10D18,240,100,Col18a1,1563.479122
HW,HW10D8,240,100,Ahrr,150.1917293
HW,HW10D8,240,100,Aldh3a1,16683.59275
HW,HW10D8,240,100,Bbs2,51.70534942
HW,HW10D8,240,100,Ccbl1,870.373382
HW,HW10D8,240,100,Cxcr7,68.9404659
HW,HW10D8,240,100,Col18a1,688.1735792
HW,HW10D9,240,100,Ahrr,185.5212509
HW,HW10D9,240,100,Aldh3a1,17486.39352
HW,HW10D9,240,100,Bbs2,89.37520114
HW,HW10D9,240,100,Ccbl1,1081.981602
HW,HW10D9,240,100,Cxcr7,143.5419897
HW,HW10D9,240,100,Col18a1,1504.482553
HW,HW10,384,0,Ahrr,5.645221125
HW,HW10,384,0,Aldh3a1,9.879136969
HW,HW10,384,0,Bbs2,42.33915844
HW,HW10,384,0,Ccbl1,235.687982
HW,HW10,384,0,Cxcr7,19.75827394
HW,HW10,384,0,Col18a1,1954.657815
HW,HW7,384,0,Ahrr,4.869810618
HW,HW7,384,0,Aldh3a1,121.7452654
HW,HW7,384,0,Bbs2,29.21886371
HW,HW7,384,0,Ccbl1,180.1829929
HW,HW7,384,0,Cxcr7,27.5955935
HW,HW7,384,0,Col18a1,1551.846317
HW,HW8,384,0,Ahrr,5.446957438
HW,HW8,384,0,Aldh3a1,8.170436158
HW,HW8,384,0,Bbs2,30.86609215
HW,HW8,384,0,Ccbl1,125.2800211
