strain,sample,time,dose,GENE_SYMBOL,gene_expression
HW,WW10,19,0.01,Cyp1a1,737.0235308
HW,WW10,19,0.01,Cyp1a2,59455.20082
HW,WW10,19,0.01,Cyp1b1,4.431003191
HW,WW11,19,0.01,Ahrr,6.124853888
HW,WW11,19,0.01,Aldh3a1,11.024737
HW,WW11,19,0.01,Bbs2,26.94935711
HW,WW11,19,0.01,Ccbl1,205.7950906
HW,WW11,19,0.01,Cxcr7,24.49941555
HW,WW11,19,0.01,Col18a1,948.1273819
HW,WW11,19,0.01,Cyb5a,21808.15475
HW,WW11,19,0.01,Cyp1a1,548.7869084
HW,WW11,19,0.01,Cyp1a2,46194.873
HW,WW11,19,0.01,Cyp1b1,12.24970778
HW,WW12,19,0.01,Ahrr,21.35288614
HW,WW12,19,0.01,Aldh3a1,3013.26905
HW,WW12,19,0.01,Bbs2,80.38733605
HW,WW12,19,0.01,Ccbl1,586.5763427
HW,WW12,19,0.01,Cxcr7,135.6536296
HW,WW12,19,0.01,Col18a1,1649.196441
HW,WW12,19,0.01,Cyb5a,19419.82192
HW,WW12,19,0.01,Cyp1a1,56175.67527
HW,WW12,19,0.01,Cyp1a2,171338.0705
HW,WW12,19,0.01,Cyp1b1,134.3975775
HW,WW9,19,0.01,Ahrr,11.06052233
HW,WW9,19,0.01,Aldh3a1,3.3181567
HW,WW9,19,0.01,Bbs2,38.71182817
HW,WW9,19,0.01,Ccbl1,355.0427669
HW,WW9,19,0.01,Cxcr7,17.69683573
HW,WW9,19,0.01,Col18a1,1267.535859
HW,WW9,19,0.01,Cyb5a,24720.26741
HW,WW9,19,0.01,Cyp1a1,357.2548714
HW,WW9,19,0.01,Cyp1a2,63867.88016
HW,WW9,19,0.01,Cyp1b1,12.16657457
HW,WW13,19,0.1,Ahrr,25.2745482
HW,WW13,19,0.1,Aldh3a1,6311.4157510000005
HW,WW13,19,0.1,Bbs2,111.930142
HW,WW13,19,0.1,Ccbl1,775.0861449
HW,WW13,19,0.1,Cxcr7,97.48754307
HW,WW13,19,0.1,Col18a1,1264.93096
HW,WW13,19,0.1,Cyb5a,22798.84603
HW,WW13,19,0.1,Cyp1a1,82426.31944
HW,WW13,19,0.1,Cyp1a2,273416.4518
HW,WW13,19,0.1,Cyp1b1,110.7265921
HW,WW14,19,0.1,Ahrr,11.07549987
HW,WW14,19,0.1,Aldh3a1,23.15786337
HW,WW14,19,0.1,Bbs2,55.37749937
HW,WW14,19,0.1,Ccbl1,266.8188606
HW,WW14,19,0.1,Cxcr7,25.17159062
HW,WW14,19,0.1,Col18a1,1143.797078
HW,WW14,19,0.1,Cyb5a,26220.74252
HW,WW14,19,0.1,Cyp1a1,9267.172803
HW,WW14,19,0.1,Cyp1a2,129873.3252
HW,WW14,19,0.1,Cyp1b1,13.08922712
HW,WW15,19,0.1,Ahrr,16.00969212
HW,WW15,19,0.1,Aldh3a1,22.01332667
HW,WW15,19,0.1,Bbs2,80.04846061
HW,WW15,19,0.1,Ccbl1,418.2532067
HW,WW15,19,0.1,Cxcr7,32.01938424
HW,WW15,19,0.1,Col18a1,1364.826253
HW,WW15,19,0.1,Cyb5a,41156.91602
